feature,gain,split
POS_NAME_CONTRACT_STATUS_Active_MEAN,7160.11515917778,365.6
INS_60M_DPD_MEAN,7127.530384778976,240.2
APPROVED_SIMPLE_INTERESTS_MEAN,7124.716064357757,294.7
BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,7119.18850774765,356.3
APPROVED_AMT_CREDIT_MIN,7104.696030092239,363.1
PREV_Cash_APPLICATION_CREDIT_RATIO_MEAN,7096.863026714325,309.5
APPROVED_DAYS_LAST_DUE_1ST_VERSION_MIN,7081.908002948761,313.1
PREV_Consumer_DAYS_DECISION_MAX,7071.445444917679,357.2
INS_36M_DBD_MAX,7064.4507518291475,358.1
BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,7057.652925682068,329.6
APPROVED_DAYS_LAST_DUE_DIFF_MEAN,7045.890318584442,347.1
BUREAU_ACTIVE_AMT_CREDIT_SUM_MAX,7006.701054763794,346.4
BUREAU_LAST6M_DEBT_PERCENTAGE_MEAN,7000.629808521271,297.6
PREV_LAST24M_AMT_CREDIT_SUM,6979.443374824524,341.7
APPROVED_CREDIT_TO_ANNUITY_RATIO_MEAN,6951.620988082886,315.6
BUREAU_AMT_CREDIT_SUM_MAX,6917.451773500443,323.5
CC_CNT_DRAWINGS_CURRENT_MAX,6900.814026975631,302.3
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,6895.769014644623,301.8
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,6808.563684511185,305.2
BUREAU_LAST6M_AMT_CREDIT_SUM_SUM,6732.261088848114,330.1
APARTMENTS_MODE,6713.493331813812,326.6
BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,6695.531799316406,290.3
INS_60M_AMT_INSTALMENT_MIN,6693.634602546692,328.2
PREV_Cash_APPLICATION_CREDIT_DIFF_MIN,6658.163479375839,308.7
INS_36M_AMT_PAYMENT_SUM,6653.02814245224,280.9
PREV_ACTIVE_DAYS_DECISION_MEAN,6645.411812925338,337.6
INS_SK_ID_PREV_SIZE,6600.464700222015,291.4
APPROVED_APPLICATION_CREDIT_RATIO_MEAN,6593.000706195831,331.1
APPROVED_AMT_ANNUITY_MIN,6590.70029258728,332.6
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,6547.910598373413,359.4
PREV_LAST12M_DAYS_DECISION_MEAN,6510.992534637451,350.7
PREV_RATE_DOWN_PAYMENT_MEAN,6476.756165885925,338.2
PREV_APPLICATION_CREDIT_DIFF_MEAN,6459.115421915054,316.3
PREV_LAST24M_APPLICATION_CREDIT_DIFF_MIN,6450.465057086944,297.4
PREV_AMT_ANNUITY_MEAN,6411.034658718109,340.0
PREV_LAST12M_SIMPLE_INTERESTS_MAX,6405.061683654785,303.7
BUREAU_ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,6397.749825763703,255.2
INS_36M_AMT_INSTALMENT_MAX,6330.9528444767,290.8
PREV_LAST12M_DAYS_DECISION_MIN,6317.443540859223,343.3
INS_60M_DAYS_ENTRY_PAYMENT_MAX,6313.5130065917965,309.2
AMT_INCOME_TOTAL,6308.190432977676,336.4
INS_AMT_INSTALMENT_MIN,6306.855631351471,307.8
POS_NAME_CONTRACT_STATUS_Completed_MEAN,6288.620299100876,317.3
120_TREND_PAID_OVER_AMOUNT,6208.470375299454,323.8
PREV_LAST24M_SIMPLE_INTERESTS_MEAN,6200.801435565949,302.6
INS_60M_SIGNIFICANT_LATE_PAYMENT_MEAN,6200.509756183625,215.9
BUREAU_LL_STATUS_12345_MEAN,6185.429540348053,316.3
APPROVED_APPLICATION_CREDIT_RATIO_MAX,6184.1888002872465,266.4
APPROVED_DAYS_LAST_DUE_DIFF_MIN,6182.665747880936,300.0
PREV_DAYS_DECISION_MAX,6164.9274729728695,316.2
INS_36M_SK_ID_PREV_SIZE,6158.498980903625,301.1
PREV_ACTIVE_REPAYMENT_RATIO_MEAN,6104.109473705292,273.2
